,remark
0,靠着 投资 发家致富 人生 逆袭
1,水平 回家
2,低估 洋河 业绩 拐点 高速成长
3,长期 怀疑 人参 没加仓
4,认准 大方向
5,垃圾 持仓 基都 赚钱 0.8
6,本事 连长 一周 大笑 微笑 微笑 微笑
7,这是 一只 收割 榨干 基基
8,互联网 最牛
9,眼瞎 东西
10,打卡 76
11,2017 持有 2021
12,老调重弹 行情 走弱 果断 地拉 大加
13,恒生 科技
14,稳定 亏本 四十多
15,行情 感觉 回来 太爽了
16,中证 1000 大涨 9.55% 小盘 值得 关注
17,两年 哪是 明星 垃圾
18,向来 银行 感冒 希望 小坤 第一重 招商 换掉
19,海康 郭敏芳 50 百润 马晓华 旌德 12
20,上周 抄底 013403 两天 个点
21,恒生 互联网 高开 1.73% 资金 连续
22,上周 连续 回调 忘记 恒生 科技 013403 周五 大涨
23,波动 手动 加仓
24,韭菜
25,QDII OTCFUND 110011
26,火爆 网络 4% 投法 好不好
27,网红 规模 超级 行业 集中度 换经
28,加仓干 猛干 一百万 子弹 半年 时间 打光
29,翻倍 补仓 我要 进攻
30,一万 无惧 涨跌
31,债基 限购
32,感觉 几天
33,昨晚 美股 中概 股大涨 高开 恒生 科技 ETF 大涨
34,短期 回调 加速 资财 复利
35,基托
36,发家 不行 趴下 价投
37,利好 消息 指向 经济 经济
38,昨天 忘记 加仓 恒生 科技 013403 大腿 拍断
39,腾讯
40,抄底 莫急 原创
41,药酒 一波 抱拳
42,连续 长长 坤哥
43,做好 短期投资 艰难 长期
44,确实 几脚 评上 个星 买来
45,行情 走弱 果断 地拉 大加
46,真的
47,酒害 清醒
48,九天 节奏
49,纳闷 天天 亏钱
50,看好 互联网 行业 投资 机会 恒生 科技 指数
51,卖掉 很久 回来 一看 不亏 抄底 恒生
52,两年 确实 没话说 无奈 形势 不好
53,这鸡 轻易
54,败家 玩意
55,利好 市场
56,一周
57,纳闷 十年 优秀 得来
58,永恒
59,我要 撤单 操作 请告 谢谢
60,25 消息面 一览 新能源 短期 走势
61,没完没了 天天
62,建议 换个
63,一口气
64,上次 预判 十多 预判 增加 40% 没别
65,真服了 反思
66,房贷 提前
67,天天
68,施氏 孟氏 故事 不确定性 环境 投资 智慧
69,天天
70,真差
71,QDII OTCFUND 110011 年初
72,乐一乐
73,跟着 碗面 回暖
74,还好 当初 几个 有人 蛊惑 加仓
75,猪人
76,行情 持有 组合 确实
77,差劲
78,留言 瓜分 香薰 积分 大礼 儿童节 聊聊 长大 玩具
79,六一 儿童节 一路 成长
80,瓜分 2w 积分 孩子 理财 粽意 哪类 资产
81,新能源 男孩 女孩 千元 有奖 召集令
82,靠着 投资 发家致富 人生 逆袭
83,水平 回家
84,低估 洋河 业绩 拐点 高速成长
85,长期 怀疑 人参 没加仓
86,认准 大方向
87,垃圾 持仓 基都 赚钱 0.8
88,本事 连长 一周 大笑 微笑 微笑 微笑
89,这是 一只 收割 榨干 基基
90,互联网 最牛
91,眼瞎 东西
92,打卡 76
93,2017 持有 2021
94,老调重弹 行情 走弱 果断 地拉 大加
95,恒生 科技
96,稳定 亏本 四十多
97,行情 感觉 回来 太爽了
98,中证 1000 大涨 9.55% 小盘 值得 关注
99,两年 哪是 明星 垃圾
100,向来 银行 感冒 希望 小坤 第一重 招商 换掉
101,海康 郭敏芳 50 百润 马晓华 旌德 12
102,上周 抄底 013403 两天 个点
103,恒生 互联网 高开 1.73% 资金 连续
104,上周 连续 回调 忘记 恒生 科技 013403 周五 大涨
105,波动 手动 加仓
106,韭菜
107,QDII OTCFUND 110011
108,火爆 网络 4% 投法 好不好
109,网红 规模 超级 行业 集中度 换经
110,加仓干 猛干 一百万 子弹 半年 时间 打光
111,翻倍 补仓 我要 进攻
112,一万 无惧 涨跌
113,债基 限购
114,感觉 几天
115,昨晚 美股 中概 股大涨 高开 恒生 科技 ETF 大涨
116,短期 回调 加速 资财 复利
117,基托
118,发家 不行 趴下 价投
119,利好 消息 指向 经济 经济
120,昨天 忘记 加仓 恒生 科技 013403 大腿 拍断
121,腾讯
122,抄底 莫急 原创
123,药酒 一波 抱拳
124,连续 长长 坤哥
125,做好 短期投资 艰难 长期
126,确实 几脚 评上 个星 买来
127,行情 走弱 果断 地拉 大加
128,真的
129,酒害 清醒
130,九天 节奏
131,纳闷 天天 亏钱
132,看好 互联网 行业 投资 机会 恒生 科技 指数
133,卖掉 很久 回来 一看 不亏 抄底 恒生
134,两年 确实 没话说 无奈 形势 不好
135,这鸡 轻易
136,败家 玩意
137,利好 市场
138,一周
139,纳闷 十年 优秀 得来
140,永恒
141,我要 撤单 操作 请告 谢谢
142,25 消息面 一览 新能源 短期 走势
143,没完没了 天天
144,建议 换个
145,一口气
146,上次 预判 十多 预判 增加 40% 没别
147,真服了 反思
148,房贷 提前
149,天天
150,施氏 孟氏 故事 不确定性 环境 投资 智慧
151,天天
152,真差
153,QDII OTCFUND 110011 年初
154,乐一乐
155,跟着 碗面 回暖
156,还好 当初 几个 有人 蛊惑 加仓
157,猪人
158,行情 持有 组合 确实
159,差劲
160,变得 之烂 进水 明白
161,垃圾
162,猪空
163,回本
164,三大 指数 翻红 0.58 真的
165,沉沦
166,赛道 股多 公私
167,垃圾
168,这基
169,QDII OTCFUND 110011 看着
170,收益 坤爷 弱弱 一句 这基
171,市场 低位 区间 投资者 科学 制定 资产 配置 方案
172,恭喜 新低
173,好像 第一天 反正
174,春暖花开 风光 绿色 环保 小散 浮亏 回本
175,快评 大盘 权重股 逞强 题材 喧宾夺主
176,操作 德行
177,天天 末了
178,去年 投后 从没 盈利
179,吃老本 一年 不好 原谅
180,落水 记得 上岸 找个 中医 调理
181,终于 明星 沦为 垃圾 真想 一脚
182,加油
183,利润 之思 原创
184,副总裁 人才 长跌
185,形势 投资 更好
186,偷吃
187,请问 估值 偏差 太大 现象
188,真特 不行
189,菜坤 持仓
190,持仓 猜轮
191,垃圾
192,年报 解读 一年 血亏 135 千万 基民 路在何方
193,快到 10 时买 腰斩 当年 低调
194,QDII OTCFUND 110011 百分
195,行情 走势图
196,快评 业绩 坚定 现成 业绩 概念 炒作
197,内蒙 新华 11.8 季报 0.32 流通盘 8838 万股 文化
198,原创
199,一年 亏了 近一半 解释 道歉
200,11 五十万 三百多万 比较满意
201,算算 几年 投资
202,阿坤 威武 几句话
203,爆雷 股票 我坤哥
204,列子 射箭 财富 认知 变现
205,2022 第一季度 持仓 启示
206,股票 天天 天天 选择
207,丘栋荣 想起 年半前
208,明白 道理 股市 20% 人能 挣钱 盘子
209,QDII 当天 更新 净值
210,吸引力 增强 资金 净流入
211,9.5 有没有
212,高开 恒生 科技 013403 暴力 反弹
213,一周 排行 老末 垃圾
214,首选
215,止损 互联网 平台 监管
216,坤哥 两年 选股 去年 美年 健康
217,入场
218,冒个
219,劣质 瞎选
220,10 现成
221,没用 失望
222,去年 业绩 排名 五个
223,坤哥 表现 太差
224,自高自大 一点 扪心自问
225,张秃 发威 两年
226,天天
227,时间 盒饭
228,废物
229,大盘 前十 重仓股
230,没救 瘟鸡
231,垃圾 真滴 遭千人 万人 唾弃
232,理解 事儿 美团 隐形 股票 每股 收益
233,无语 大跌
234,五月 次涨 几次 大跌
235,不争气
236,已成
237,小白 美股 肯定 跟着 美股 大跌
238,啥时候
239,矮油 一只 股票 没红
240,政策 压制 因素 消除 互联网 平台 有望 迎来
241,真牛 股好 给力 一只 能力 很强
242,神台
243,今日 这鸡
244,猪空
245,何时能
246,酒来 一波 拉动 人气 基金净值
247,前期 回调 配置 价值 凸显
248,招商银行 海威 康视 再来 腾讯 业务 能力
249,垃圾
250,我空仓 90% 投资者
251,咋样
252,下午 做好
253,当初 风光 現在 大盘股 灰头土脸
254,坑惨 蓝畴 同一个 一年
255,坤哥 趴着 残废
256,腾讯 算不算
257,真该 反思 反思
258,标准 垃圾
259,这老 妖怪 中欧 远见 两年 定开 区别
260,勇敢 爱坤永 相随 大笑 大笑 大笑 大笑
261,昨天 恒生 科技 指数 发现 科技 弹性
262,前期 调整 春季 过后 蓄势 投资 价值
263,昨天 高开高 走大涨 原因 昨晚 消息面 传来
264,周定 5.18 利好
265,传统 思维 2022 不放
266,市场 左右侧 交易 底部 偏右
267,垃圾
268,投资 人性 弱点 原创
269,能看懂 一段 内容
270,现阶段 追加 5000
271,恒生 科技 表现 强势 4.25%
272,崛起
273,标准 垃圾
274,感觉 好时机 策略 分批 布局
275,这支 见鬼
276,下午 我会 一笔
277,坤哥 不行 买酒
278,蜜糖 毒药 管理 规模 事儿
279,混合型 证券 投资 产品 资料 概要
280,借给 早晚 连本 带息 回来
281,断断续续 两年 亏损 50%
282,坤哥 表现 很差 6% 资金 加仓 飙升 突破
283,换个 良心
284,关注 估值 方向 市场 估值
285,看好 超跌 反弹 013403 接回来
286,便宜 历史 最低水平
287,市场 逻辑
288,快讯 永茂泰 16.4 季报 0.45 股本 1.88 特色
289,投资 原创
290,人敢 往里
291,还好
292,2022 巴菲特 股东大会 价值 投资 三观 追求
293,涨跌 思考 原创
294,高手 上海 机场 美年 健康 海康 威视 招商银行
295,海康 威视 阿坤 执着
296,寂寞
297,持续 看好 放开 连续 加仓
298,涨回去 加油
299,水平 韭菜 基民 背锅
300,海康 威视 一个月 忙活 市值 同行
301,请问 老师 周定
302,坤哥 连续 多日 下跌 基民 失望
303,这头
304,大盘 红成 拉不动 位置
305,涨停
306,好基 去年 一点 起色
307,此基 神经病 A股 配置
308,千万别 涨起来 地方 一跌
309,开放 限购
310,天天 干嘛
311,感觉 徐坤 张坤强
312,海康 天天 跌停 有意思
313,两天 涨回来 不涨 寒心
314,海康 股票 影响 收益 跌停
315,恒生 科技
316,图片
317,恒生 科技 个点
318,QDII OTCFUND 110011 持仓
319,改名 乐色 滴汗
320,QDII OTCFUND 110011 坤哥
321,一年 平安 好意思 收管
322,坤哥 有个 建议 精力 时间 副总裁
323,连续 亏了
324,有方 追涨杀跌 投来
325,绿帽子 感觉 干嘛
326,垃圾 放着 A股 买买
327,一看 统计 阶段 浮近 一年 28.44%
328,两年 再见 摊手 摊手 摊手
329,人民日报 中国 经济 长期 基本面 夯实
330,大涨 小涨 小跌 大跌
331,单位 竞争 真的 怀疑 得来
332,两夭涨 个点
333,六天 五跌 一段时间 不错 个股 连续
334,垃圾
335,香港 一塌糊涂
336,明天 能红下 垃圾
337,耐心 持有 静等 花开 大笑
338,底部 区间 火力 抄底 权益
339,真服 下跌 下跌
340,无情 高估
341,好几个 乐色
342,丸子 丢人
343,超跌 超低 市盈率 小盘 绩优股
344,财经 晨信 11
345,崛起 好家伙
346,挺住 垃圾
347,万事俱备
348,行情 好票 持续 加仓
349,回撤
350,持仓 两年 35%
351,鸡肋 讲讲 故事
352,干嘛
353,全球 光伏 发电 市场 发展 迅猛 国际 能源 IE
354,放眼 国际 特斯拉 德国 柏林 工厂 投产 宣传 开发 锰基
355,不中用 垃圾
356,人才
357,感觉 躺平 混日子
358,基民 不当
359,昨天 恒生 科技
360,周定 别问 加仓
361,永茂泰 15.7 季报 0.45 市盈率 8.7 总盘 1.88 亿股
362,进坑 近期 表现 越来越 优秀
363,情况 几年
364,规模 顶峰 400 亏损 168 优秀
365,垃圾
366,一头 ....
367,透了心 再见
368,11 消息面 一览 创业板 估值 高于 纳斯
369,赶紧
370,放弃 治疗 困惑 困惑
371,别具一格 韭菜
372,三月初 第二天 亏损
373,幸亏 这鸡 腰斩 几百块 特别 心疼 重仓
374,从亏 70% 124% 大逆袭
375,醒醒 躺平 成绩
376,稳得 一批
377,申購 現在 亏得 一塌糊涂
378,这帮 垃圾 稍微 一跌 能力
379,10 发帖 时止 欧美 状况 截图 所示
380,截图 直至 2022 10 发帖 时止
381,丢人 0.23 连续
382,确实 垃圾
383,垃圾
384,真的 不想 TM
385,这群 懂得 持仓 一跌
386,连跌 四天 不知 作何 感想 组合
387,优秀 稳定 无与伦比
388,有人 顺便 几句
389,估值 优秀 稳定
390,重仓 股票 乱来
391,腰斩 倒霉 极差
392,大盘
393,抗压 反弹力 加油
394,丢人现眼
395,连跌 四天 本事
396,丢人
397,持仓 持股 业绩
398,无耻 不让
399,0.16% 张突
400,大盘 再涨 几天
401,海康 京东
402,解除 限购
403,垃圾 到家
404,国内外 形势 影响 之下 做好 退休 保障
405,回撤 55% 值得 持有
406,天天 海康 威视 京东 集团 没完没了
407,垃圾
408,高价股 至少 十个 京东
409,两年
410,功课 复习 亏损 仓位
411,买卖
412,买卖
413,全绿
414,撇嘴 撇嘴
415,是因为 暂停 交易
416,盘大 灵活 市场 慢一拍 只能 消费 估计
417,反常
418,必死无疑
419,暂停 赎回
420,消息面 一览 加息 缩表
421,功课 复习 亏损 仓位
422,卖鞋 投资 智慧 原创
423,想要 停止
424,2022.5 简版 指数 估值 播报 看待 反弹 方向
425,温馨 提示 下周一 香港 市场 休市 故含
426,第一 两天 个点 丸子
427,烦人 高位 不让 低位 不让
428,一盘 公募 一哥 家底
429,复利 原创
430,看着 两年 亏了
431,暂停 赎回
432,海康 威视 张雷 一年 忙活
433,玩意
434,真要命
435,全绿 胜利 市场 市场 不好
436,神马 玩意
437,每次 节后
438,第一名
439,五一 期间 没少 赔钱 往里面
440,韭菜
441,折腾
442,30% 走人 好好 一堂课 拜神
443,海康 威视 第一重
444,速跑
445,有方 简单 习惯 助力 长期投资
446,去年 一百个 牛市 大笑
447,海康 威视 拉下 海康 威视 跌停板
448,垃圾 锤子
449,估值 净值 影响
