,title,content
0,直击 年度 股东大会 阐述 时代,16 股份 有限公司 年度 股东大会 茅台镇 国际 大酒店 股份 有限公司 董事长 董事 李静仁 高管 证券 分析师 股东 股东 代表 媒体 代表 300 出席 现场会议 大会 审议 年度 董事会 工作 报告 年度 独立 董事 述职 报告 年度报告 年度 财务预算 方案 年度 财务决算 报告 年度 利润分配 方案 选举 董事 议案 选举 独立 董事 议案 修订 议案 15 议案 16 年来 议案 数最多 股东大会 顺利实现 十四五 开局 营业 总收入 1094.64 同比 增长 11.71% 超额完成 年度 营收 目标 归属于 上市公司 股东 净利润 524.60 同比 增长 12.34% 各项 指标 两位数 增长 股东 10 股派 发现 金红利 216.75 含税 分配利润 272 亿余元 分红 金额 历年 新高 分红 净利润 一半 年度 财务决算 报告 呈现 债务 结构 盈利 能力 现金流 充沛 高质量 发展 统揽全局 聚焦 目标 生产 经营 改革 发展 各项 工作 增强 核心 竞争力 议案 基酒 生产 5.65 万吨 酱香 系列 2.82 万吨 持续保持 稳产 市场营销 营销 体制改革 市场 分析 研判 投放 渠道 调节 经销商 库存 清零 发展 自营 网点 第三代 升级 知识产权 保护 多措 并举 确保 市场 价格 总体 稳定 产品 结构 推动 酱香 系列 酒调 结构 品鉴 客户 价格 稳步 提升 综合 效益 越来越 酱香 系列 营业 收入 935 126 会上 公布 经营 目标 一是 营业 总收入 上年 增加 增长 15% 二是 基本建设 投资 69.69 透露 第一季度 营业 总收入 331.87 同比 增长 18.25% 归属于 上市公司 股东 净利润 172.45 同比 增长 23.58% 生产 价格 品质 业绩 创下 近三年 来单 季度 增幅 上市 单季 增长 数额 稳中有 开门 即红 会议 期间 发表 主题 演讲 股东 代表 分享 时代 生活 16 一年 中场 放远 一点 上市 本世纪 中叶 几年 中场 国际 国内 形势 行业 秩序 重塑 新格局 形成期 消费 升级 船到 流浪 更急 人到 山路 一种 渴望 姿态 源自 世界 一流 目标 现代化 建设 发展 精益求精 品质 追求 极致 文化 有永葆 绿色 生态 解渴 答案 改革 创新 项目 加速 高质量 发展 发展 因素 增多 面对 何种 困难 挑战 信心十足 一是 宏观经济 形势 行业 发展 走势 政策 环境 给予 信心 二是 拥有 四个 核心 势能 独一无二 原产地 保护 复制 微生物 菌落 传承 千年 独特 酿造 工艺 长期 贮存 基酒 资源 三是 万众 齐心 股东 供应商 经销商 合作方 员工 向心力 凝聚力 前所未有 增强 给予 奋斗 战胜 艰难险阻 激情 动力 追求 创造 生活 围绕 美味 生活 健康 生活 智慧 生活 格调 生活 共美 生活 积极探索 成果 产品 珍品 虎年 43 1935 迎宾 飞天 100 产品 面世 文化 聚焦 文化 清明 感恩 大典 端午 大典 活动 此基础 首提 五个 五个 蓝线 美好 绿线 更具 美态 白线 兴美业 紫线 富美韵 红线 美行 进一步 升华 五线 发展 道路 成果 谈及 未来 持续 围绕 文化 极致 坚定 文化 自信 传承 优秀 文化 赓续 精神 血脉 延续 文化 根魂 构建 独特 鲜明 文化 精神 标识 文化 资源优势 转化 发展 优势 增强 文化 影响力 凝聚力 感召力 赋能 高质量 发展
1,浙商 证券 给予 买入 评级 高质量 加速度 价齐,每经 AI 快讯 浙商 证券 06 19 发布 报称 给予 600519 SH 最新 1951 买入 评级 评级 理由 包括 高质量 加速度 发展 五个 五个 核心 产区 扩建 空间 基础 建设 持续 加大 试运营 期间 硕果 丰厚 累计 销售额 30 40 营销 改革 加速 提价 基础 利润 双位数 确定性 风险 提示 宏观经济 下行 疫情 预期 AI 点评 一个月 券商 研报 关注 买入
2,渴望 姿态 追求 生活 年度,流网 冰淇淋 领取 一盒 中意 冰淇淋 乘坐 主办方 安排 大巴 文化城 参观 领略 美食 美景 文化 董事长 重点 股东大会 不想 这是 16 茅台镇 年度 股东大会 真香 现场 当天 会议 现场 座无虚席 吸引 全国 266 股东 股东 代表 前来 参会 股份 有限公司 董事长 李静仁 高管 微笑 围桌 身旁 股东 脸上 笑意 会场 充满 轻松 气氛 昨晚 管理层 拜访 股东 听到 股东 生活 一件 事情 小茅 见面 申购 努力 数字化 方式 创造 智慧 生活 美好 体验 感受 时代 之美 智慧 之美 之美 家常 话语 亲切 智慧 引发 阵阵 掌声 昨晚 高管 国际 大酒店 135 分钟 走访 23 房间 67 股东 券商 分析师 交流 听取 建议 结束 拜访 深夜 11 主业 冰雪 相关 推出 冰淇淋 奢侈品 走向世界 贴近 老百姓 生活 为荣 一位 哈尔滨 股东 申购 虎年 生肖 当丁雄军 敲门 怀里 正抱 小茅 玩偶 爱不释手 高管 第一 2016 持有 追求幸福 生活 发自内心 感恩 每次 回家 熟悉 面孔 感觉 亲切 股东 刘素 英说 股东 礼品 特别 憨态可掬 吉祥物 小茅 人气 火爆 冰淇淋 会议 安排 环节 充满 家人 温馨 温情 股东 永远 家人 这场 家庭聚会 畅谈 时代 生活 承载 家人 殷殷 期盼 自然 压力 市值 突破 万亿元 但丁 雄军 坦言 上市 本世纪 中叶 中场 一种 渴望 姿态 渴望 股东 生活 越来越 一种 奋进 姿态 去年 24 临时 股东大会 五线 发展 战略 五匠 质量观 五合 营销 开启 时代 时间 建构 高质量 发展 四梁 八柱 动作 频频 上线 即成 爆款 冰淇淋 入市 赢得 俏市 1935 系列 新品 上市 持续 热销 系列 文化 活动 引发 各方 共鸣 美味 健康 智慧 格调 共美 矢志不渝 追求 创造 生活 年度 股东大会 审议 多达 15 议案 数量 16 议案 增多 年度报告 15% 增长 目标 创下 年来 新高 股东 交流 五线 发展 道路 基础 五个 五个 分享 骄人成绩 未来 美好 蓝图 蓝线 美好 绿线 更具 美态 白线 兴美业 紫线 富美韵 红线 美行 坚信 速度 质量 世界 一流 上市 美好 愿景 提问 环节 李静仁 股东 发言 提问 时间 一家人 股东 情绪 高昂 发言 内部 决策 产品 落地 产能 扩建 分红 股权 坚定 长期 持有者 董事长 时代 生活 分享 令人鼓舞 股东 期待 回报 一位 问道 提高 分红 比例 分红 政策 改成 季度 期待 股息 贵族 股息 长跑 冠军 诚恳 持续 稳定 现金 分红 策略 追求 追求 持续 幸福 会花 很大 力气 解决 改革 创新 发展 绝对额 持续 听取 股东 意见建议 分红 办法 法律法规 公司章程 时代 节奏 做出 科学合理 决策 沟通 效果 看好 未来 一位 福建 告诉 笔者 无论是 会前 拜访 股东 现场 敞开 心扉 交流 会议 接待 体现 服务 股东 价值 理念 点滴 细微 温馨 开放 自信 疫情 防控 年度 股东大会 现场 参会 人数 股东大会 情况 图文 直播 图片 直播 股东大会 结束 直播 观看 人数 365 万余人次 下午 股东大会 现场会议 结束 机构 分析师 股东 深圳市 海道 投资 管理 有限公司 合伙人 陆金海 团团围住 问这问那 连任 时间 已到 陆金海 正式 卸任 独立 董事 一职 感慨 地说 独立 董事 责任 压力 经历 一生 难忘 记忆 陆金海 记得 2016 任职 独立 董事 原本 几个 时间 在家 研究 烈酒 区别 产品 入手 服务 在我看来 核心 地方 韵味 香气 到入 带来 美妙 感受 时间 陆金海 忠实 茅粉 谈起 系列产品 头头是道 自豪 地说 宣传 当好 文化 传播者 股东大会 特地 股东 开设 时代 生活 辉煌 七十年 回顾展 一件件 尘封已久 文献 实物 股东 近距离 感触 这艘 巨轮 时代 浪潮 曲折 奋进 品尝 冰淇淋 游览 文化城 参观 七十年 回顾 展览 参会 股东 切实 投资 股东 读懂 信任 江苏 股东 展馆 工作人员 桌上 摊开 一卷 长长的 宣纸 邀请 股东 题字 祝福 未来 留言 有人 加油 有人 感谢 有人 动情 表达 心声 成长 绝大多数 股东 祝福 送给 希望 留给 江苏 股东 提笔 思考 些许 郑重 写下 十万
5,网购 飞天 每瓶 1499 百余人 没收 到货,月初 百余名 消费者 摩鲜汇 App 参加 万瓶 抢购 活动 没想到 没收 到货 网上 抢购 30 飞天 没收 到货 月底 西安 市民 李先生 出租车 广告 屏上 摩鲜汇 App 推出 万瓶 抢购 活动 活动 购买 99 水果 礼盒 抢购 每瓶 1499 摩鲜汇 App 预约 抢购 规则 15 日起 购买 助农 直达 专区 99 水果 礼盒 即可 领取 助力 抢购 ID 限领 三张 零点 抢购 即可 下单 一瓶 两瓶 原价 飞天 53 带杯 下单 购买 后该 抢购 自动 作废 平台 承诺 假一 赔十 李先生 担心 真假 抢购 下单 三四天 收到 查验 证实 拿到 1499 飞天 机会难得 抢购 30 价值 万多元 平台 承诺 天内 发货 李先生 收到 30 李先生 抢购 规则 购买 99 水果 礼盒 抢购 两瓶 飞天 第一次 下单 水果 收到 第二次 收到 水果 没收 迟迟 没收 到货 李先生 网上 查到 摩鲜汇 App 开发 陕西 摩农 电子商务 有限公司 办公 地点 讨说法 见到 维权 消费者 摩鲜汇 App 抢购 几瓶 200 多瓶 价值 30 多万 收到 平台 办公 地点 大门 紧锁 销售 人员 失联 平台 承诺 17 发送 订单 警方 介入 调查 华商报 记者 天眼 查询 发现 摩鲜汇 App 开发 陕西 摩农 电子商务 有限公司 成立 12 31 法定代表 人为 18 下午 记者 来到 陕西 摩农 电子商务 有限公司 位于 文景 写字楼 办公 地点 大门 紧锁 透过 玻璃门 办公室 杂乱 大门口 聚集 十余名 前来 维权 消费者 记者 粗略 统计 现场 消费 最少 抢购 瓶酒 最多 抢购 200 多瓶 剩下 十瓶 几十 大有人在 维权 群里 一份 订单 接龙 共有 110 登记 摩鲜汇 公众 一份 发布 13 通知 用户 活动 热情 预估 致使 活动 期间 发货 延期 对此 出台 应急 方案 即日起 摩鲜汇 开启 西安 上海 三仓 发货 模式 疫情 原因 上海 暂时 开启 13 日晚 开启 西安 发货 平台 用户 保证 17 日晚 订单 发送 完毕 18 凌晨 用户 自行 查看 物流 信息 18 下午 多名 抢购 用户 收到 物流 信息 西安 经开 警方 介入 调查 摩鲜汇 App 抢购 消费者 辖区 派出所 登记 消费 数额
6,证券 给予 买入 评级 以美之名 发展 万众一心,证券 06 18 发布 报称 给予 600519 SH 最新 1951 买入 评级 评级 理由 包括 美酒 美食 生活 万众一心 加快 中场 发展 产品 推新 本质 品质 品质 消费者 美好生活 需求 账面 现金 项目 开发 需求 核心 产区 扩建 空间 风险 提示 宏观经济 不确定性 风险 疫情 反复 风险 AI 点评 一个月 券商 研报 关注 买入
7,产业 矛盾 积累 到达 临界点 五粮液 董事长,17 酒业 协会 主办 泸州 老窖 SZ000568 股价 223 市值 3282 承办 第十一届 T8 峰会 泸州 举办 近年 行业 总产量 萎缩 行业 总体 业绩 规模 持续 上涨 产品升级 趋势 头部 酒企 选择 相继 扩产 市场份额 背景 保证 行业 高质量 发展 五粮液 洋河 股份 泸州 老窖 行业龙头 表态 峰会 看点 产业 矛盾 积累 到达 临界点 消费 升级 品质 升级 背景 行业 产量 销量 总体 稳定 收入 利润 稳定增长 结构性 阶段 结构性 增长 行业 发展 主旋律 基调 优势 品牌 优势 优势 产区 持续 受益 五粮液 集团 股份公司 董事长 说道 头部 企均 产品 结构 升级 营收 规模 持续增长 SH600519 股价 1951 市值 2.45 万亿元 总营收 首次 突破 千亿 1061.9 同比 增长 11.88% 净利润 524.6 同比 增长 12.34% 刷新 2001 上市 成绩 紧随 营收 突破 百亿 上市 酒企 六家 662.09 五粮液 SZ000858 股价 181.18 市值 7033 253.5 洋河 股份 206.42 泸州 老窖 199.71 山西汾酒 132.7 古井 贡酒 102.25 顺鑫 农业 背景 我国 行业 总体 产量 逐年 下降 国家统计局 数据 2020 我国 65 商品量 累计 产量 740.7 万千 同比 减少 2.5% 下降 715.6 万千 行业 梯队 分化 全国 规模 销售收入 6033.48 上市 企营收 行业 大半 头部 酒企 相继 扩产 市场份额 酒业 协会 理事长 宋书 产业 矛盾 积累 到达 临界点 产能 品类 升温 渠道 扩充 整合 加剧 资本 关注 产能 价值 矛盾 品类 之间 矛盾 渠道 积压 矛盾 体制 文化整合 矛盾 投资 回报 矛盾 消费 需求 下行 压力 矛盾 释放 不可避免 产业 发展 面临 稳定 因素 一是 行业 集中度 进一步 增强 饮酒 人群 数量 变化 消费 容量 挑战 二是 市场 开放度 进一步提高 业外 资本 涌入 有序 发展 挑战 三是 名酒 美誉度 进一步 提升 供需矛盾 市场 供给 挑战 行业 高质量 发展 时代背景 推动 时代 高质量 发展 峰会 多位 头部 酒企 高层 重点 讨论 话题 文中 提到 行业 头部 酒企 产品 结构 升级 高端 高端 扩容 泸州 老窖 集团 股份公司 董事长 刘淼 品质 提升 品项 创新 品貌 升级 推动 产品 嬗变 更好 顺应时代 潮流 消费 需求 必由之路 确实 消费 升级 演绎 健康 个性化 时尚化 消费 趋势 突显 品质 健康 个性 时尚 产品 符合 消费 时代 市场需求 洋河 股份 SZ002304 股价 169.72 市值 2558 总裁 钟雨 持续 迭代 升级 现有 产品 推出 代表 技术 设计 功能 新体验 产品 酒业 深度 融入 新型 消费 大潮 洋河 股份 催化 酒业 智能 变革 科技进步 加速 推动 数字 经济 实体 经济 产业化 融合 推进 千企万商 智能化 转型 体系 建设 绿色 低碳 持续 发展 酿酒 智能 服务 智慧 生态 智联 刘淼 五粮液 兄弟 学习 聚焦 酒业 优势 基础 推动 产业 扩张 加快 行业龙头 一道 改造 升级 数智 创新 成果 推广 全国 食品饮料 行业 核心 新兴 智能 制造 数字 信息产业 新兴产业 发展 贡献 力量 集团 董事长 董事长 说道 经济 形势 变幻 疫情 复杂多变 酒业 面临 秩序 重塑 新格局 形成期 消费 升级 三期 叠加 行业 发展 形势 产业 深刻 思考 找准 症结 变化 主动 调整 化解矛盾
8,副总 受贿 被判 无期 股价 逼近 2000 上演,原高管 判刑 17 袁仁国 同期 任职 副总经理 杜光义 一审 被判 无期 受贿 金额 1.026 逼近 此前 袁仁国 1.129 亿余元 受贿 金额 不久前 13 袁仁国 任期 最短 掌舵人 卫东 粗略 统计 集团 被查 高管 17 子公司 多为 负责 销售 值得注意 近日 迎来 一波 上涨 17 再度 大涨 4% 股价 突破 1950 关口 距离 2000 大关 一步之遥 一日 股东大会 公布 经营 目标 一是 营业 总收入 年度 增长 15% 二是 基本建设 投资 69.69 受贿 一审 被判 无期 黔东南州 中级 人民法院 官方 微信 公众 消息 17 上午 黔东南州 中级 人民法院 一审 公开 宣判 股份 有限公司 副总经理 集团 有限责任 董事 销售 有限公司 董事长 杜光义 受贿案 被告人 杜光义 受贿罪 判处 无期徒刑 剥夺 政治权利 终身 并处 没收 财产 杜光义 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 审理 查明 2000 被告人 杜光义 利用 销售 有限公司 股份 有限公司 助理 副总经理 集团 有限责任 董事 兼任 销售 有限公司 董事长 职务 便利 获取 变更 经营权 物资供应 谋取 利益 非法 收受 给予 财物 折合 10259.590717 黔东南州 中级 人民法院 被告人 杜光义 受贿罪 杜光义 受贿 4781.3 未遂 到案 如实 供述 罪行 主动 交代 办案 机关 尚未 受贿 事实 认罪 悔罪 退赃 受贿 赃款赃物 追缴 法定 酌定 处罚 情节 依法 处罚 法庭 作出 判决 公开 资料 杜光义 汉族 1955 10 月生 仁怀 1979 10 中国共产党 1976 参加 工作 大专 学历 1999 销售 有限公司 2001 股份 有限公司 助理 2010 股份 有限公司 副总经理 2011 12 集团 有限责任 党委委员 董事 股份 有限公司 副总经理 2012 兼任 销售 董事长 2015 12 办理 退休 手续 2019 12 纪委 监委 网站 消息 集团 有限责任 党委委员 股份 有限公司 副总经理 杜光义 违纪 违法 开除党籍 移送 检察机关 依法 审查起诉 当年 立案 审查 距其 退休 整整 时间 2020 检察机关 依法 杜光义 涉嫌 受贿案 提起公诉 多位 高管 落马 粗略 统计 集团 被查 高管 17 不久前 13 晚间 中央纪委 国家 监委 网站 纪委 监委 消息 煤田 地质局 党委委员 局长 卫东 涉嫌 违纪 违法 接受 纪委 监委 纪律 审查 监察 调查 卫东 史上 任期 最短 一任 董事长 2020 时任 交通运输 厅长 卫东 接棒 李保芳 集团 第四任 董事长 一年 卫东 卸任 最终 命运 执掌 18 袁仁国 已因 腐败问题 伏法 去年 24 纪委 监委 消息 贵阳市 中级 人民法院 集团 党委书记 董事长 袁仁国 受贿案 作出 一审 公开 宣判 判处 无期徒刑 审理 查明 1994 2018 被告人 袁仁国 利用 副厂长 集团 有限责任 副总经理 副董事长 董事长 股份 有限公司 董事长 职务 便利 经销权 分户 经销 增加 供应量 事项 提供 非法 收受 给予 财物 折合 1.129 亿余元 消息 袁仁国 受贿 集团 子公司 学院 包括 袁仁 国共 16 位高管 查处 名高管 袁仁国 落马 袁仁国 事件 牵扯 名高管 名高管 受贿 被查 查处 16 名高管 至少 名高管 负责 销售 占据 整体 查处 高管 人数 一半 值得注意 杜光义 袁仁国 同期 任职 16 位高管 袁仁国 执掌 时期 杜光义 销售 有限公司 贸易 董事长 受贿 金额 接近 袁仁国 受贿 金额 袁仁国 立案 调查 集团 高层 经历 换血 三年 时间 集团 掌门人 李保芳 卫东 上任 贵州省政府 体系 空降 集团 内部 经历 大刀阔斧 改革 目标 营收 增速 15% 上市公司 年内 走势 平淡 17 日大涨 4% 股价 最新 1951 股王 逼近 2000 关口 市值 2.45 万亿 消息 面上 16 茅台镇 年度 股东大会 此前 公告 疫情 防控 所在地 接待 能力 原因 只能 安排 300 股东 参加 私募 大佬 林园 但斌 知名 公募 杨德龙 纷纷 现身 大会 董事长 整体 工作 部署 稳字 稳中求进 紧扣 集团公司 翻番 打造 战略目标 持续 五线 发展 道路 全力以赴 抓好 疫情 防控 生产 经营 改革 发展 各项 工作 奋力 推动 高质量 发展 提出 经营 目标 一是 营业 总收入 年度 增长 15% 营业 总收入 1094.64 同比 增长 11.71% 归属于 母公司 所有者 净利润 524.60 同比 增长 12.34% 目标 计算 1259 营收 去年 增速 目标 提高 4.5 百分点 增长额 164 二是 基本建设 投资 69.69 包括 续建 项目 新建 项目 续建 项目 酱香 系列 技改 工程 配套 设施 基础 项目 之外 投资 2.24 建设 智慧 建设 一期 一批 项目 新建 项目 五项 投资 金额 投资 建设 数字化 信息 平台 透露 数字 营销 进展 仅仅 几个 时间 注册人数 接近 1700 中信证券 最新 研报 公布 短期 产能 计划 中长期 产能 兼并 收购 方式 有望 产能 持续 扩容 预期 中长期 产能 具备 个位数 持续 成长 空间 主因 管理层 评估 地理 区域 茅台镇 酿酒 核心 区域 15 平方公里 平方公里 充分利用 尚有 平方公里 释放 后续 科学 规划 论证 开发 2022Q1 账面 现金 现金 等价物 合计 1700 管理层 信心 提高 现金 效率 股东 创造 资本 回报率 发力 中信证券 改革 成效 显现 旨在 引流 扩圈 科技 增能 渠道 加速 扁平化 22Q1 直销 提升 34% 远远 领先 同业 增厚 业绩 提升 控货 稳价 能力 一线 城市 疫情 反复 期间 动销 顺畅 经销商 信心 充足 批价 稳定 运行 区间 实践 创新 数字化 整合营销 进一步 提升 品牌 年轻化 14 注册人数 1700 营业 收入 30 40 全年收入 120 预期 常态 新品 投放 进一步 增厚 收入 申万 宏源 治理 改善 加速 增长 产品 营销 改革 将会 推进 未来 持续 高质量 发展 中长期 供给 产能 中华 片区 开发 土地 情况 预计 中长期 产能 翻倍 空间 需求 始终 需求 强劲 增长 最为 品牌
9,06 17 日获 股通 增持 56.31 万股,06 17 股通 增持 56.31 万股 最新 持股 8828.76 万股 股本 7.03% 五日 持股 数据 持股 股价 变动 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
10,副总经理 杜光义 一审 被判 无期,17 上午 黔东南州 中级 人民法院 一审 公开 宣判 股份 有限公司 副总经理 集团 有限责任 董事 销售 有限公司 董事长 杜光义 受贿案 被告人 杜光义 受贿罪 判处 无期徒刑 剥夺 政治权利 终身 并处 没收 财产 杜光义 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 审理 查明 2000 被告人 杜光义 利用 销售 有限公司 股份 有限公司 助理 副总经理 集团 有限责任 董事 兼任 销售 有限公司 董事长 职务 便利 获取 变更 经营权 物资供应 谋取 利益 非法 收受 给予 财物 折合 10259.590717 黔东南州 中级 人民法院 被告人 杜光义 受贿罪 杜光义 受贿 4781.3 未遂 到案 如实 供述 罪行 主动 交代 办案 机关 尚未 受贿 事实 认罪 悔罪 退赃 受贿 赃款赃物 追缴 法定 酌定 处罚 情节 依法 处罚 法庭 作出 判决 杜光义 简历 杜光义 汉族 1955 10 月生 仁怀 1979 10 中国共产党 1976 参加 工作 大专 学历 1999 销售 有限公司 2001 股份 有限公司 助理 2010 股份 有限公司 副总经理 2011 12 集团 有限责任 党委委员 董事 股份 有限公司 副总经理 2012 兼任 销售 董事长 2015 12 办理 退休 手续
11,杜光义 无期,一名 领导 干部 利用 谋取私利 判刑 黔东南州 中级 人民法院 官微 消息 17 上午 该院 一审 公开 宣判 股份 有限公司 副总经理 集团 有限责任 董事 销售 有限公司 董事长 杜光义 受贿案 被告人 杜光义 受贿罪 判处 无期徒刑 剥夺 政治权利 终身 并处 没收 财产 杜光义 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 统计 近两年 黔东南州 中院 官方 信号 发布 第三名 判刑 前高管 此前 包括 集团 党委委员 副总经理 高守洪 集团 助理 集团 保健酒 有限公司 董事长 张城 去年 董事长 袁仁国 因犯 受贿罪 中院 判处 无期徒刑 剥夺 政治权利 终身 并处 没收 财产 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 非法 收受 人财物 亿经 黔东南州 中院 审理 查明 2000 被告人 杜光义 利用 销售 有限公司 股份 有限公司 助理 副总经理 集团 有限责任 董事 兼任 销售 有限公司 董事长 职务 便利 获取 变更 经营权 物资供应 谋取 利益 非法 收受 给予 财物 折合 10259.590717 黔东南州 中级 人民法院 被告人 杜光义 受贿罪 杜光义 受贿 4781.3 未遂 到案 如实 供述 罪行 主动 交代 办案 机关 尚未 受贿 事实 认罪 悔罪 退赃 受贿 赃款赃物 追缴 法定 酌定 处罚 情节 依法 处罚 法庭 作出 判决 此前 两名 前高管 判刑 黔东南州 中院 官方 公众 杜光义 近两年 至少 两名 前高管 判刑 2020 30 下午 黔东南州 中院 公开 宣判 集团 有限责任 党委委员 副总经理 高守洪 受贿案 法院 依法 判决 被告人 高守 洪犯 受贿罪 判处 有期徒刑 十年 处罚金 50 被告人 高守洪 受贿 所得 财物 折合 716.9395 孳息 依法 予以 追缴 上缴国库 审理 查明 2009 2018 下半年 被告人 高守洪 利用 股份公司 助理 对外 投资 集团公司 党委委员 副总经理 高新 置业 董事长 职务 便利 工程 承揽 工程款 拨付 地产 项目 合作 物资供应 谋取 利益 非法 收受 人财物 数额 特别 2020 11 集团 有限责任 助理 集团 保健酒 有限公司 董事长 张城 受贿 一案 审结 法院 审理 查明 2009 年初 2019 被告人 张城 利用 保健酒 董事长 职务 便利 承接 基酒 供应 业务 基酒 价格调整 基酒 赊销 外包装 材料 采购 货款 拨付 产品 合作开发 生产 经销 事项 谋取 利益 非法 收受 财物 折合 418.762 款项 张城 用于 购买 房产 金融 投资 日常 开支 案发后 张城 主动 交代 办案 机关 绝大部分 受贿 事实 受贿 所得 赃款 追缴 1398.7 张城以 受贿罪 判处 有期徒刑 十三年 处罚金 二百 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 董事长 袁仁国 判刑 公开 资料 近年 集团 落马 判刑 高管 包括 集团 电商 董事 董事长 法定代表 聂永 副董事长 肖华伟 集团 党委 书记 副董事长 自力 副总经理 销售 董事长 王崇琳 集团 近年 绳之以法 高管 最受 关注 当属 董事长 袁仁国 贵阳市 中级 人民法院 消息 23 上午 法院 一审 公开 宣判 袁仁国 受贿案 被告人 袁仁国 受贿罪 判处 无期徒刑 剥夺 政治权利 终身 并处 没收 财产 袁仁国 受贿 所得 财物 孳息 依法 予以 追缴 上缴国库 审理 查明 1994 2018 被告人 袁仁国 利用 副厂长 集团 有限责任 副总经理 副董事长 董事长 股份 有限公司 董事长 职务 便利 经销权 分户 经销 增加 供应量 事项 提供 非法 收受 给予 财物 折合 1.129 亿余元 25 第十三次 党代会 报告 全文 发布 提及 严肃查处 一批 违纪 违法 案件 领导 干部 利用 谋取私利 专项 整治 成效
