直击贵州茅台2021年年度股东大会：丁雄军阐述“美时代,6月16日，贵州茅台酒股份有限公司2021年年度股东大会在茅台镇茅台国际大酒店举行，贵州茅台股份有限公司董事长丁雄军，公司董事、代总经理李静仁等公司高管、证券分析师、股东及股东代表、媒体代表近300人出席现场会议。大会审议了《2021年度董事会工作报告》《2021年度独立董事述职报告》《2021年年度报告》《2021年度财务预算方案》《2021年度财务决算报告》《2021年度利润分配方案》《关于选举董事的议案》《关于选举独立董事的议案》《关于修订 的议案》等15项议案。据了解，这是近16年来，议案数最多的一次股东大会。 2021年，茅台顺利实现“十四五”良好开局，营业总收入1094.64亿元，同比增长11.71%，超额完成年度营收目标；归属于上市公司股东的净利润524.60亿元，同比增长12.34%，各项指标均保持两位数增长。贵州茅台对公司全体股东每10股派发现金红利216.75元(含税)，共分配利润272亿余元，分红金额创历年新高，分红占净利润的一半以上。《2021年度财务决算报告》显示，贵州茅台呈现债务结构优、盈利能力强、现金流充沛的特点。贵州茅台坚持以高质量发展统揽全局，聚焦目标任务、生产经营和改革发展各项工作，不断巩固和增强核心竞争力。议案显示，贵州茅台2021年完成茅台酒基酒生产5.65万吨、酱香系列酒2.82万吨，持续保持优质稳产。在市场营销方面，贵州茅台坚持营销体制改革、市场分析研判、投放渠道调节、经销商“库存清零”、发展自营网点、“第三代店”升级、知识产权保护等多措并举，有力确保茅台酒市场和价格总体稳定。在产品结构方面，贵州茅台积极推动酱香系列酒调结构、抓品鉴、聚客户，吨酒价格稳步提升，综合效益越来越优。全年完成茅台酒、酱香系列酒营业收入分别为935亿元、126亿元。贵州茅台还在会上公布了2022年的经营目标：一是营业总收入较上年增加增长15%左右；二是完成基本建设投资69.69亿元。据丁雄军透露，2022年第一季度，茅台实现营业总收入331.87亿元，同比增长18.25%，归属于上市公司股东的净利润172.45亿元，同比增长23.58%，实现了生产稳、价格稳、品质优、业绩优，创下近三年来单季度最大增幅和茅台上市以来最大单季增长数额，实现了“稳中有优、开门即红”。会议期间，丁雄军发表了主题演讲，和股东代表分享了茅台的“美时代·美生活”。丁雄军说，“今天是6月16日，是一年的中场，放远一点，从茅台上市到本世纪中叶，这几年都属于中场”。就国际与国内目前的形势而言，白酒行业进入了新秩序重塑期、新格局形成期和新消费升级期，船到中流浪更急，人到半山路更陡，贵州茅台应该有一种“渴望美”的姿态。贵州茅台的“渴”，源自于对世界一流企业的目标欲，有现代化建设的发展欲，有精益求精的品质欲，有追求极致的文化欲，有永葆绿色的生态欲。对于如何“解渴”，丁雄军的答案是需要通过改革、创新、项目来加速贵州茅台高质量发展。“尽管发展不确定因素增多，但无论面对何种困难和挑战，我们都信心十足。”丁雄军认为，一是宏观经济形势、行业发展走势和政策环境给予的信心；二是茅台自身拥有“四个核心势能”，即独一无二的原产地保护、不可复制的微生物菌落群、传承千年的独特酿造工艺、长期贮存的优质基酒资源；三是“万众齐心”，股东、供应商、经销商、合作方及全体茅台员工，向心力、凝聚力都前所未有的增强，给予了茅台奋斗、战胜一切艰难险阻的激情和动力。追求和创造美生活，茅台围绕美味生活、健康生活、智慧生活、格调生活、共美生活积极探索，并取得良好的成果。在产品端，茅台冰激凌、珍品茅台、虎年茅台、43度茅台、茅台1935、紫迎宾、飞天100等产品的面世；在文化方面，聚焦茅台文化，开展清明感恩大典、茅台端午大典等活动……在此基础，贵州茅台首提“五个更、五个美”，既“蓝线”要更加美好，“绿线”要更具美态，“白线”要更兴美业，“紫线”要更富美韵，“红线”要更讲美行，进一步巩固和升华“五线”发展道路所取得的成果。谈及未来，丁雄军说，茅台将持续围绕“酒文化的极致”，坚定文化自信，传承优秀文化、赓续精神血脉、延续文化根魂，构建独特鲜明的茅台文化精神标识，做深“茅台+”“+茅台”，将丰富文化资源优势转化为发展优势，不断增强文化影响力、凝聚力和感召力，赋能茅台高质量发展。
浙商证券给予贵州茅台买入评级：高质量加速度 量价齐,每经AI快讯，浙商证券06月19日发布研报称，给予贵州茅台(600519.SH，最新价：1951元)买入评级。评级理由主要包括：1)高质量加速度，发展“五个更、五个美”；2)核心产区仍有扩建空间，基础建设持续加大；3)i 茅台试运营期间硕果丰厚，累计销售额达 30-40 亿；4)营销改革加速，不提价基础上利润端双位数确定性强 。风险提示：1、宏观经济下行；2、疫情影响超预期。AI点评：贵州茅台近一个月获得4份券商研报关注，买入3家。
以“渴望美”的姿态追求美生活——贵州茅台2021年年度,从“顶流网红”茅台冰淇淋店领取一盒自己中意的冰淇淋，乘坐主办方安排好的大巴去中国酒文化城参观，领略美食美景美文化之后再听董事长“划重点”，这样的股东大会，你想不想来？这是6月16日在茅台镇召开的贵州茅台2021年年度股东大会的“真香”现场。当天，会议现场座无虚席，吸引了来自全国各地的266位股东或股东代表前来参会。贵州茅台酒股份有限公司董事长丁雄军、代总经理李静仁等高管，微笑着与大家围桌而坐，他们身旁的股东脸上也浮着笑意，整个会场充满轻松的气氛。“昨晚，我们管理层去拜访股东时，听到很多股东都在讲，他们生活中很重要的一件事情，就是每天去和‘小茅’见面，到‘i茅台’上去申购。今后我们会努力通过更多数字化方式，创造更多‘智慧’生活的美好体验，让大家感受时代之美、智慧之美、茅台之美。”丁雄军聊家常般的话语亲切而智慧，不时引发阵阵掌声。就在昨晚，丁雄军等贵州茅台高管在茅台国际大酒店，用了135分钟走访了23个房间，与67名股东、券商、分析师交流听取建议，结束拜访时已是深夜11点。“我的主业是和冰雪相关，最近看到茅台推出了冰淇淋，茅台既作为奢侈品走向世界，又贴近了老百姓的生活，我们以茅台为荣。”一位来自哈尔滨的股东刚在“i茅台”上申购到了虎年茅台生肖酒，当丁雄军敲门进来时，他怀里正抱着“小茅”玩偶，爱不释手。他笑着对茅台高管说，他买的第一只股票就是贵州茅台，从2016年持有到现在，茅台帮他实现了追求幸福的生活，所以对茅台是发自内心的感恩。“每次来茅台都像回家一样，有很多熟悉的面孔，感觉非常亲切。”茅台股东刘素英说，这一次茅台给股东的礼品好特别——憨态可掬的吉祥物“小茅”和人气火爆的茅台冰淇淋。而且，会议安排的每个环节都充满了家人般的温馨和温情。正如贵州茅台一直所强调的，股东永远是茅台的家人。在这场“家庭聚会”上，丁雄军与投资者畅谈美时代和美生活。不过，承载着“家人”的殷殷期盼，自然也是“压力山大”。虽然目前贵州茅台市值已突破2万亿元，但丁雄军仍坦言，从茅台上市到本世纪中叶，茅台都还属于中场，应该有一种“渴望美”的姿态，“茅台仍然渴望各位股东的生活越来越美。”正是抱着这样一种奋进的姿态，从去年9月24日的临时股东大会算起，“五线”发展战略、“五匠”质量观、“五合”营销法开启“美时代”……近9个月的时间，茅台在不断建构高质量发展的“四梁八柱”时，大动作频频，“i茅台”上线即成爆款，茅台冰淇淋入市即赢得俏市，茅台1935等系列新品上市持续热销，系列文化活动引发各方共鸣。美味、健康、智慧、格调、共美……矢志不渝追求和创造美生活的茅台，在这次年度股东大会上审议了多达15项议案，数量为近16年之最。不仅是议案的增多，其年度报告里确定的15%的增长目标，也创下了3年来新高。与股东交流中，丁雄军在“五线”发展道路的基础上，用“五个更”“五个美”，分享了茅台当下的骄人成绩和未来的美好蓝图：即“蓝线”要更加美好、“绿线”要更具美态、“白线”要更兴美业、“紫线”要更富美韵、“红线”要更讲美行。“我们坚信，‘速度+质量’，茅台‘世界一流上市企业’的美好愿景就一定能够实现。”提问环节，李静仁笑着说，现在是股东发言或提问时间，大家有什么问题尽管提，一家人没有什么不能说。股东们情绪格外高昂，大家的发言集中在公司内部决策、产品落地、产能扩建和股票分红等方面。“我们是茅台股权坚定而长期的持有者，刚才听了董事长所做的‘美时代、美生活’的分享，令人鼓舞，而作为股东，最期待的就是‘美回报’。”一位投资者问道，茅台能否适当提高分红比例？分红政策能不能改成季度？“我们期待着茅台能够成为中国的‘股息贵族’和‘股息长跑冠军’。”丁雄军诚恳地表示，茅台坚持持续稳定的现金分红，是一个好的策略，茅台不追求一时的美，而是追求可持续的美、幸福的美。“我们会花很大力气解决改革、创新、发展的问题，绝对额才会做大。我们会持续认真听取股东的意见建议，对于分红的办法，我们会依照法律法规和公司章程，踩着时代的节奏做出科学合理的决策。”“沟通效果很好，我们继续看好茅台的未来。”一位福建的投资者告诉笔者，无论是会前的拜访股东，还是现场的敞开心扉交流，亦或是会议接待体现出的服务股东的价值理念，点滴细微之处，都让投资者看到了一个更加温馨、开放和自信的茅台。因为疫情防控，此次年度股东大会将现场参会人数做了限制，为了让更多投资者了解股东大会情况，贵州茅台分别作了图文直播与图片直播，截至股东大会结束时，直播观看人数达365万余人次。下午5时，股东大会现场会议结束，不少机构分析师和中小股东将深圳市前海道明投资管理有限公司合伙人陆金海团团围住，问这问那。因连任时间已到6年，陆金海正式卸任贵州茅台独立董事一职。他感慨地说，在茅台任独立董事的这6年，有责任、也有压力，这段经历将成为他一生中最难忘的记忆。陆金海至今还记得，2016年刚任职茅台独立董事时，原本不喝白酒的他，专门花了几个月时间，天天在家品各种茅台酒，为的就是研究茅台酒与其他烈酒的区别，从产品端入手了解他服务的企业。“在我看来，茅台酒最核心的地方就是它的韵味，从香气到入喉，都带来非常美妙的感受。”6年时间，陆金海成为了最忠实的茅粉，谈起茅台各系列产品来，头头是道。他自豪地说，“今后我也会继续宣传茅台，当好茅台文化的传播者。”这次股东大会，茅台还特地为股东开设了“美时代·美生活：贵州茅台辉煌七十年回顾展”，通过一件件尘封已久的文献和实物，让股东近距离感触茅台这艘巨轮在时代浪潮中的曲折与奋进。“从品尝茅台冰淇淋到游览中国酒文化城再到参观茅台七十年回顾展览，茅台真正做到了让所有参会的股东，切实了解到他们所投资的企业。这让股东们更能读懂茅台，也更加信任茅台。”来自江苏的股东张先生说。展馆内，工作人员在桌上摊开一卷长长的宣纸，邀请股东题字祝福茅台、为未来留言。有人写，“茅台加油！”有人写，“茅台感谢你！”有人动情表达心声，“茅台，我们一起成长！”绝大多数股东将祝福送给了贵州茅台，将希望留给了大家。来自江苏的股东张先生在提笔时思考了些许，郑重写下：“十万亿！” 
贵州茅台本周融资净买入2.22亿元，居酿酒行业板块第一,
贵州茅台本周获沪股通增持6.27亿元，周内增持市值两市,
网购飞天茅台每瓶1499元 百余人付了钱一直没收到货,今年6月初，百余名消费者在摩鲜汇App上参加了“万瓶茅台抢购”活动，让他们没想到的是，付了款后却一直没收到货。网上抢购30瓶飞天茅台，付了钱却没收到货今年5月底，西安市民李先生在出租车的广告屏上看到摩鲜汇App推出“万瓶茅台抢购”活动。这个活动需要先购买99元的水果礼盒后，才能抢购每瓶1499元的茅台。根据摩鲜汇App预约抢购规则显示，5月15日起至6月1日购买“助农直达”专区99元水果礼盒即可领取茅台助力抢购券，每个ID限领三张；6月1日零点使用抢购卷即可下单一瓶或两瓶原价飞天茅台53°(带杯)，下单购买后该抢购券自动作废。另外，平台承诺茅台假一赔十。起初，李先生担心茅台的真假，便先抢购了8瓶，下单三四天后就收到了货，并找人查验证实了他拿到的茅台酒是真的。考虑到1499元可以买到真的飞天茅台机会难得，之后他又先后抢购了30瓶(价值4万多元)，平台承诺7天内发货，但这次李先生一直没有收到这30瓶茅台。李先生说，根据抢购规则每购买99元的水果礼盒，可以抢购两瓶飞天茅台，他第一次下单水果和茅台都收到了，第二次只收到了水果，茅台一直没收到。由于迟迟没收到货，李先生在网上查到了摩鲜汇App开发企业陕西摩农电子商务有限公司的办公地点，去讨说法，在这里他见到了很多维权的消费者。很多人都在摩鲜汇App抢购了茅台酒，少的几瓶，多的有200多瓶(价值30多万)，大家都一直没有收到货，并且平台的办公地点也大门紧锁，销售人员也都失联。平台曾承诺17日发送全部订单，警方已介入调查华商报记者通过天眼查查询发现，摩鲜汇App开发企业陕西摩农电子商务有限公司成立于2021年12月31日，法定代表人为李某某。6月18日下午，记者来到陕西摩农电子商务有限公司位于文景路某写字楼的办公地点，该公司大门紧锁，透过玻璃门看到办公室里非常杂乱，该公司大门口聚集着十余名前来维权的消费者。记者粗略统计，现场消费中最少的抢购了4瓶酒，最多的抢购了200多瓶，剩下十瓶、几十瓶的也大有人在。根据维权群里一份订单接龙显示，共有110人登记。根据摩鲜汇公众号上一份发布于6月13日的通知显示，该公司称由于对用户活动热情的预估不足，致使活动期间出现发货延期问题。对此，公司积极出台应急方案：即日起，摩鲜汇开启西安、上海、贵州三仓发货模式。由于疫情原因，上海仓暂时无法开启，贵州仓13日晚开启，西安仓正常发货。最后，平台在此向所有用户保证，截至17日晚，所有订单将全部发送完毕，18日凌晨用户便可自行查看物流信息。6月18日下午，多名抢购茅台酒的用户表示，他们没有收到任何物流信息。目前，西安经开警方已介入调查，很多在摩鲜汇App抢购茅台酒的消费者已经在辖区派出所登记消费数额。
信达证券给予贵州茅台买入评级 以美之名发展 万众一心,信达证券06月18日发布研报称，给予贵州茅台(600519.SH，最新价：1951元)买入评级。评级理由主要包括：1)美酒、美食、美生活，万众一心加快中场发展；2)产品推新本质是品质坚持，用更高的品质满足消费者对美好生活的需求；3)账面现金对应项目开发需求，核心产区扩建空间仍在。风险提示：宏观经济不确定性风险；疫情反复风险。AI点评：贵州茅台近一个月获得4份券商研报关注，买入3家。
“产业矛盾积累已经到达临界点” 茅台、五粮液董事长,6月17日，由中国酒业协会主办、泸州老窖(SZ000568，股价223元，市值3282亿元)承办的第十一届中国白酒T8峰会在泸州举办。近年，白酒行业总产量不断萎缩，行业总体业绩规模却持续上涨，产品升级趋势明显。与此同时，头部酒企选择相继扩产，市场份额逐渐集中。在此背景下，如何保证行业高质量发展？贵州茅台、五粮液、洋河股份、泸州老窖等行业龙头的表态成为此次峰会的最大看点。“产业矛盾积累已经到达临界点” “在消费升级、品质升级背景下，行业全面进入产量销量总体稳定、收入利润稳定增长的结构性新阶段，结构性增长成为行业发展的主旋律、主基调，优势品牌、优势企业、优势产区持续受益。”五粮液集团及股份公司董事长曾从钦说道。近年来，几乎所有头部酒企均完成了产品结构升级，营收规模也在持续增长。其中，贵州茅台(SH600519，股价1951元，市值2.45万亿元)总营收首次突破千亿至1061.9亿元，同比增长11.88%；净利润524.6亿元，同比增长12.34%，刷新了自2001年上市以来的最好成绩。紧随茅台之后，营收突破百亿的上市酒企还有六家，分别为662.09亿元的五粮液(SZ000858，股价181.18元，市值7033亿元)、253.5亿元的洋河股份、206.42亿元的泸州老窖、199.71亿元的山西汾酒、132.7亿的古井贡酒和102.25亿元的顺鑫农业。然而在此背景下，我国白酒行业总体产量正逐年下降。国家统计局数据显示，2020年我国白酒(折65度，商品量)累计产量740.7万千升，同比减少2.5%；2021年又下降至715.6万千升。行业内梯队分化也更加明显，2021年全国规模以上白酒企业实现销售收入6033.48亿元，上市酒企营收占行业的大半。而随着头部酒企却相继扩产，市场份额将不断集中。中国酒业协会理事长宋书玉认为，当下产业矛盾积累已经到达临界点。白酒产能扩大、品类升温、渠道扩充、整合加剧、资本关注；产能与价值的矛盾、品类之间的矛盾、渠道积压的矛盾；体制文化整合的矛盾、投资与回报的矛盾、尤其是消费需求的下行压力等等，矛盾释放不可避免。曾从钦亦表示，目前产业发展面临的不确定不稳定因素仍然较多。“一是行业集中度进一步增强的同时，饮酒人群数量变化对白酒消费容量构成一定挑战；二是市场开放度进一步提高的同时，大量业外资本涌入对白酒有序发展构成一定挑战；三是名酒美誉度进一步提升的同时，优质白酒供需矛盾对白酒市场供给构成一定挑战。”行业高质量发展之路 在这样的时代背景下，如何推动新时代中国白酒高质量发展，成为此次峰会中多位头部酒企高层重点讨论的话题。前文中提到，目前白酒行业几乎所有头部酒企已经完成产品结构升级，高端、次高端扩容明显。泸州老窖集团及股份公司董事长刘淼认为，品质提升、品项创新和品貌升级是推动产品嬗变，更好顺应时代潮流和消费需求的必由之路。确实，随着消费升级的不断演绎，白酒健康化、个性化、时尚化消费趋势不断突显，越是品质健康、个性时尚的产品，就越符合新消费时代的市场需求。洋河股份(SZ002304，股价169.72元，市值2558亿元)总裁钟雨亦表示：“我们既要持续迭代升级现有产品，也要不断推出代表着新技术、新设计、新功能、新体验的新产品，让中国酒业更深度融入新型消费的大潮中。”他还表示，洋河股份需要积极催化中国酒业的智能变革、科技进步，加速推动数字经济与实体经济的产业化融合，推进千企万商智能化转型的体系建设，实现绿色低碳可持续发展，让酿酒更“智能”，服务更“智慧”，生态更“智联”。刘淼同样表示，将继续向茅台、五粮液等兄弟企业学习，在聚焦酒业优势的基础上，推动产业扩张，加快做大做强，并与行业龙头企业一道，不断改造升级数智创新成果，并将之推广到全国其他白酒企业乃至食品饮料行业，从而形成以应用为核心的新兴智能制造、数字信息产业，为中国新兴产业发展贡献中国白酒人的力量。茅台集团董事长、贵州茅台董事长丁雄军说道：“在经济形势变幻、疫情复杂多变、中国酒业正面临‘新秩序重塑期、新格局形成期、新消费升级期’三期叠加的行业发展新形势，产业必须深刻思考，找准症结，适应变化，主动调整，化解矛盾。”
茅台原副总受贿超1亿 被判无期！股价逼近2000元 上演,又见茅台原高管被判刑！6月17日，与袁仁国同期任职的贵州茅台原副总经理杜光义一审被判无期，其受贿金额约1.026亿元，十分逼近此前袁仁国1.129亿余元的受贿金额。而就在不久前的5月13日，继袁仁国之后，茅台“任期最短”掌舵人高卫东也被查。据粗略统计，近年来，茅台集团被查的前高管约17位(含子公司)，其中多为负责销售。值得注意的是，近日贵州茅台迎来一波上涨行情，6月17日贵州茅台再度大涨近4%，股价突破1950元关口，距离2000元大关仅一步之遥。在前一日召开的股东大会上，贵州茅台公布了今年的经营目标：一是营业总收入较上年度增长15%左右，二是完成基本建设投资69.69亿元。受贿超1亿，一审被判无期 据黔东南州中级人民法院通过官方微信公众号消息，2022年6月17日上午，贵州省黔东南州中级人民法院一审公开宣判贵州茅台股份有限公司原副总经理、中国贵州茅台酒厂(集团)有限责任公司原董事、贵州茅台酒销售有限公司原董事长杜光义受贿案，对被告人杜光义以受贿罪判处无期徒刑，剥夺政治权利终身，并处没收个人全部财产；对杜光义受贿所得财物及孳息依法予以追缴，上缴国库。经审理查明：2000年以来，被告人杜光义先后利用担任贵州茅台酒销售有限公司经理、贵州茅台股份有限公司总经理助理、副总经理、中国贵州茅台酒厂(集团)有限责任公司董事以及兼任贵州茅台酒销售有限公司董事长等职务上的便利，为他人在获取和变更茅台酒经营权、物资供应等方面谋取利益，非法收受他人给予的财物共计折合人民币10259.590717万元。黔东南州中级人民法院认为，被告人杜光义的行为构成受贿罪。鉴于杜光义受贿4781.3万元系未遂；其到案后能够如实供述自己罪行，主动交代办案机关尚未掌握的部分受贿事实；认罪、悔罪，积极退赃，受贿赃款赃物已全部追缴，具有法定、酌定从轻处罚情节，依法可对其从轻处罚。法庭遂作出上述判决。公开资料显示，杜光义，男，汉族，1955年10月生，贵州仁怀人，1979年10月加入中国共产党，1976年2月参加工作，大专学历。1999年3月任贵州茅台酒销售有限公司经理；2001年1月任贵州茅台酒股份有限公司总经理助理；2010年5月任贵州茅台酒股份有限公司副总经理；2011年12月任中国贵州茅台酒厂(集团)有限责任公司党委委员、董事，贵州茅台酒股份有限公司副总经理(其中，2012年5月起兼任茅台酒销售公司董事长)；2015年12月办理退休手续。2019年12月，贵州省纪委监委网站消息，中国贵州茅台酒厂(集团)有限责任公司原党委委员、贵州茅台酒股份有限公司原副总经理杜光义因严重违纪违法问题被开除党籍并移送检察机关依法审查起诉。当年被立案审查距其退休已过去整整4年时间。2020年1月，贵州检察机关依法对杜光义涉嫌受贿案提起公诉。多位茅台高管已落马据粗略统计，近年来，茅台集团被查的前高管约17位。就在不久前的5月13日晚间，据中央纪委国家监委网站，贵州省纪委监委消息：贵州省煤田地质局党委委员、局长高卫东涉嫌严重违纪违法，目前正接受贵州省纪委监委纪律审查和监察调查。高卫东是茅台史上任期最短的一任董事长。2020年3月，时任贵州省交通运输厅厅长高卫东接棒李保芳，成为茅台集团第四任董事长。仅一年半之后的2021年8月，高卫东就匆匆卸任。而他的最终命运或与执掌茅台18年的袁仁国相同，后者已因腐败问题伏法。去年9月24日，根据贵州省纪委监委消息显示，贵州省贵阳市中级人民法院对茅台集团原党委书记、董事长袁仁国受贿案作出一审公开宣判，袁被判处无期徒刑。经审理查明：1994年至2018年，被告人袁仁国先后利用担任贵州省茅台酒厂副厂长、中国贵州茅台酒厂(集团)有限责任公司副总经理、副董事长、总经理、董事长、贵州茅台酒股份有限公司董事长等职务上的便利，为他人在获得茅台酒经销权、分户经销、增加茅台酒供应量等事项上提供帮助，非法收受他人给予的财物共计折合人民币1.129亿余元。据消息称，“袁仁国受贿”前后，茅台集团及其子公司，甚至茅台学院，包括袁仁国共有16位高管被查处。其中，3名高管在袁仁国落马前被查，袁仁国事件牵扯进9名高管，另4名高管也均因受贿被查。在上述被查处的16名高管中，至少有8名高管负责销售，占据整体被查处高管人数一半。值得注意的是，杜光义与袁仁国同期任职，正是上述16位高管之一。在袁仁国执掌茅台时期，杜光义曾担任过贵州茅台酒销售有限公司及多地茅台贸易公司董事长，而他的受贿金额接近袁仁国受贿金额。袁仁国被立案调查后，茅台集团高层经历大换血。三年多时间内，茅台集团及贵州茅台掌门人，从李保芳到高卫东，再到最近新上任的丁雄军，均为贵州省政府体系空降，茅台集团内部随后经历大刀阔斧地改革。贵州茅台今年目标营收增速15%上市公司方面，年内走势较为平淡的贵州茅台在6月17日大涨近4%，股价最新达1951元/股，A股“股王”再次逼近2000元关口，总市值为2.45万亿。消息面上，6月16日，贵州茅台在茅台镇召开2021年度股东大会。按照公司此前公告，因为疫情防控和公司所在地接待能力的原因，只能安排300名股东参加。私募大佬林园、但斌，知名公募基金经理杨德龙纷纷现身。在此次大会上，茅台董事长丁雄军针对今年整体工作进行部署。2022年，贵州茅台将坚持稳字当头、稳中求进，紧扣集团公司“双翻番、双巩固、双打造”战略目标，持续走好“五线”发展道路，全力以赴抓好疫情防控、生产经营和改革发展各项工作，奋力推动茅台高质量发展。丁雄军还提出了今年的经营目标：一是营业总收入较上年度增长15%左右。2021年贵州茅台实现营业总收入1094.64亿元，同比增长11.71%；归属于母公司所有者的净利润524.60亿元，同比增长12.34%。照目标计算，2022年贵州茅台或实现1259亿元的营收，较去年增速目标提高4.5个百分点，增长额164亿元。 二是完成基本建设投资69.69亿元，包括续建项目、新建项目。在续建项目方面，除了酱香系列酒技改工程及其配套设施等基础项目之外，贵州茅台还将投资2.24亿元建设“智慧茅台”建设一期一批项目；在新建项目方面，贵州茅台今年也有五项投资，其中金额最大的为投资建设数字化信息平台。 此外，丁雄军透露，公司在数字营销方面取得了积极进展，仅仅几个月的时间，“i茅台”注册人数接近1700万。中信证券最新研报表示，虽然公司没有公布茅台酒短期的新产能计划，但我们认为中长期通过自建产能、兼并收购等方式仍有望实现茅台酒产能的持续扩容，预期中长期茅台酒产能仍具备每年个位数持续成长的空间，主因：1)管理层评估，在地理区域上茅台镇酿酒核心区域15平方公里，其中8平方公里已经得到充分利用，尚有7平方公里待释放，后续经科学规划及充分论证后可进行合理开发；2)2022Q1末公司账面现金与现金等价物合计约1700亿元，管理层表示有信心提高现金使用效率为股东创造更高的资本回报率。而关于贵州茅台在i茅台、茅台冰激凌方面的发力，中信证券认为改革成效显现，i茅台、茅台冰激凌旨在引流扩圈、科技增能。公司渠道加速扁平化，22Q1直销占比提升至34%远远领先同业，增厚业绩的同时提升控货稳价能力，一线城市疫情反复期间茅台酒动销顺畅、经销商信心充足、批价稳定运行在合理区间。i茅台实践创新数字化整合营销，茅台冰激凌进一步提升品牌年轻化，截至6月14日，i茅台注册人数近1700万，实现营业收入约30-40亿元，我们维持i茅台全年收入超120亿的预期，常态化新品的投放将进一步增厚收入。申万宏源认为，2022年是茅台治理改善与加速增长的开始，茅台在产品与营销方面的改革将会不断推进，未来将持续高质量发展。中长期来看，供给端，产能方面，根据中华片区未开发土地情况，预计中长期茅台产能仍有翻倍空间。需求端，茅台始终是需求强劲增长最为确定的品牌。
贵州茅台06月17日获沪股通增持56.31万股,06月17日，贵州茅台获沪股通增持56.31万股，最新持股量为8828.76万股，占公司A股总股本的7.03%。近五日持股量数据持股量及股价变动图免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。
