nan,增长,市场,2021,产品,数据,融资,2022,价格,同比,平台,融券,显示,招行,飞天,买入,冰淇淋,成交,集团,上线,渠道,万股,电商,销售,资金,行业,投资,发展,交易,业绩,消费者,行长,金额,营销,股价,记者,股东,万元,申购,当日,丁雄军,风险,中国,股份,发布,企业,消费,收入,一季度,净利润,生产
增长,404,20,60,10,31,0,77,7,212,2,0,55,3,1,10,1,0,11,7,9,0,3,11,3,11,13,13,0,59,0,1,1,5,9,1,80,0,0,1,8,8,2,5,32,7,7,74,53,172,1
市场,20,453,14,25,14,0,22,34,6,18,0,18,8,22,5,0,4,8,18,20,1,14,24,8,17,6,22,18,27,13,3,2,23,15,15,6,1,5,9,11,7,2,4,23,4,6,4,12,7,5
2021,60,14,439,10,20,0,65,13,38,3,0,42,3,6,2,0,0,13,9,9,1,4,5,0,6,3,8,1,62,4,0,1,2,19,9,16,6,2,3,47,4,7,19,43,11,3,31,17,28,13
产品,10,25,10,391,10,0,5,20,0,25,0,14,1,49,4,7,0,9,29,33,0,18,22,0,6,1,10,4,11,23,0,0,28,4,11,3,0,35,3,9,7,2,4,25,0,6,4,3,1,12
数据,31,14,20,10,714,2,36,10,33,12,0,169,0,1,3,0,25,5,6,6,56,6,6,34,12,323,3,137,18,2,1,1,1,136,5,9,2,4,2,1,87,18,10,30,13,3,15,9,25,320
融资,0,0,0,0,2,213,134,0,1,0,155,134,0,0,54,0,0,1,0,1,0,0,0,2,4,0,3,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0,0,3,0,0,0,0,0
2022,77,22,65,5,36,134,610,15,73,7,133,162,4,5,59,0,81,15,15,9,49,2,12,3,8,17,14,80,60,7,11,79,16,6,6,22,109,4,3,36,8,6,35,65,2,0,28,42,43,4
价格,7,34,13,20,10,0,15,297,2,23,0,10,0,23,10,2,7,5,4,7,7,11,11,0,5,1,5,7,12,10,0,7,10,1,6,3,10,3,0,9,7,2,4,13,4,4,3,6,3,10
同比,212,6,38,0,33,1,73,2,292,0,0,57,3,0,2,1,0,8,2,2,0,0,3,0,1,2,2,0,33,0,0,1,0,5,0,81,0,0,0,0,3,0,3,36,7,1,75,47,171,0
平台,2,18,3,25,12,0,7,23,0,280,0,8,0,30,4,7,1,9,102,15,0,111,11,2,7,4,2,0,7,17,0,2,60,5,13,1,4,13,7,9,4,9,4,11,1,2,0,0,0,1
融券,0,0,0,0,0,155,133,0,0,0,155,133,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
显示,55,18,42,14,169,134,162,10,57,8,133,632,6,5,87,1,26,18,5,15,1,1,10,38,15,7,6,4,15,4,4,3,1,26,7,16,67,12,4,1,4,21,19,23,6,1,28,16,28,9
招行,3,8,3,1,0,0,4,0,3,0,0,6,96,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,8,0,20,1,0,13,11,4,0,0,2,0,3,5,5,3,0,0,4,3,2,0
飞天,1,22,6,49,1,0,5,23,0,30,0,5,0,235,2,3,0,2,38,13,0,29,31,0,4,2,2,1,5,9,0,1,19,4,10,5,1,6,3,4,1,6,3,5,0,2,1,1,0,1
买入,10,5,2,4,3,54,59,10,2,4,53,87,0,2,379,0,15,3,1,3,0,2,0,55,3,3,1,1,12,0,0,21,2,23,1,1,29,0,104,0,2,13,32,48,0,1,4,6,1,0
冰淇淋,1,0,0,7,0,0,0,2,1,7,0,1,0,3,0,78,1,4,18,1,0,5,6,0,1,0,1,0,0,2,0,1,5,0,8,3,0,0,0,6,0,5,0,2,0,1,1,0,0,5
成交,0,4,0,0,25,0,81,7,0,1,0,26,0,0,15,1,223,0,0,0,76,0,0,53,0,1,0,97,0,0,0,108,0,23,0,0,95,0,101,0,0,2,5,0,0,0,1,1,0,1
